Date,Ticker,Close,Sector
2018-06-01,AMZN,82.0770034790039,Consumer Discretionary
2018-06-04,AMZN,83.26349639892578,Consumer Discretionary
2018-06-05,AMZN,84.81749725341797,Consumer Discretionary
2018-06-06,AMZN,84.7874984741211,Consumer Discretionary
2018-06-07,AMZN,84.46499633789062,Consumer Discretionary
2018-06-08,AMZN,84.19950103759766,Consumer Discretionary
2018-06-11,AMZN,84.45600128173828,Consumer Discretionary
2018-06-12,AMZN,84.9375,Consumer Discretionary
2018-06-13,AMZN,85.24299621582031,Consumer Discretionary
2018-06-14,AMZN,86.19300079345703,Consumer Discretionary
2018-06-15,AMZN,85.79850006103516,Consumer Discretionary
2018-06-18,AMZN,86.18949890136719,Consumer Discretionary
2018-06-19,AMZN,86.73899841308594,Consumer Discretionary
2018-06-20,AMZN,87.50399780273438,Consumer Discretionary
2018-06-21,AMZN,86.51100158691406,Consumer Discretionary
2018-06-22,AMZN,85.78350067138672,Consumer Discretionary
2018-06-25,AMZN,83.15750122070312,Consumer Discretionary
2018-06-26,AMZN,84.55449676513672,Consumer Discretionary
2018-06-27,AMZN,83.02549743652344,Consumer Discretionary
2018-06-28,AMZN,85.07250213623047,Consumer Discretionary
2018-06-29,AMZN,84.98999786376953,Consumer Discretionary
2018-07-02,AMZN,85.68900299072266,Consumer Discretionary
2018-07-03,AMZN,84.697998046875,Consumer Discretionary
2018-07-05,AMZN,84.98650360107422,Consumer Discretionary
2018-07-06,AMZN,85.53150177001953,Consumer Discretionary
2018-07-09,AMZN,86.95099639892578,Consumer Discretionary
2018-07-10,AMZN,87.15350341796875,Consumer Discretionary
2018-07-11,AMZN,87.75,Consumer Discretionary
2018-07-12,AMZN,89.83100128173828,Consumer Discretionary
2018-07-13,AMZN,90.65149688720705,Consumer Discretionary
2018-07-16,AMZN,91.12449645996094,Consumer Discretionary
2018-07-17,AMZN,92.19650268554688,Consumer Discretionary
2018-07-18,AMZN,92.14600372314452,Consumer Discretionary
2018-07-19,AMZN,90.64849853515624,Consumer Discretionary
2018-07-20,AMZN,90.68499755859376,Consumer Discretionary
2018-07-23,AMZN,90.0999984741211,Consumer Discretionary
2018-07-24,AMZN,91.46199798583984,Consumer Discretionary
2018-07-25,AMZN,93.18049621582033,Consumer Discretionary
2018-07-26,AMZN,90.4000015258789,Consumer Discretionary
2018-07-27,AMZN,90.8635025024414,Consumer Discretionary
2018-07-30,AMZN,88.96099853515625,Consumer Discretionary
2018-07-31,AMZN,88.87200164794922,Consumer Discretionary
2018-08-01,AMZN,89.8584976196289,Consumer Discretionary
2018-08-02,AMZN,91.71649932861328,Consumer Discretionary
2018-08-03,AMZN,91.16449737548828,Consumer Discretionary
2018-08-06,AMZN,92.3874969482422,Consumer Discretionary
2018-08-07,AMZN,93.1240005493164,Consumer Discretionary
2018-08-08,AMZN,94.32599639892578,Consumer Discretionary
2018-08-09,AMZN,94.9260025024414,Consumer Discretionary
2018-08-10,AMZN,94.31500244140624,Consumer Discretionary
2018-08-13,AMZN,94.80999755859376,Consumer Discretionary
2018-08-14,AMZN,95.98249816894533,Consumer Discretionary
2018-08-15,AMZN,94.13099670410156,Consumer Discretionary
2018-08-16,AMZN,94.32599639892578,Consumer Discretionary
2018-08-17,AMZN,94.11100006103516,Consumer Discretionary
2018-08-20,AMZN,93.83550262451172,Consumer Discretionary
2018-08-21,AMZN,94.1709976196289,Consumer Discretionary
2018-08-22,AMZN,95.24500274658205,Consumer Discretionary
2018-08-23,AMZN,95.1449966430664,Consumer Discretionary
2018-08-24,AMZN,95.26950073242188,Consumer Discretionary
2018-08-27,AMZN,96.38400268554688,Consumer Discretionary
2018-08-28,AMZN,96.64099884033205,Consumer Discretionary
2018-08-29,AMZN,99.90499877929688,Consumer Discretionary
2018-08-30,AMZN,100.11900329589844,Consumer Discretionary
2018-08-31,AMZN,100.635498046875,Consumer Discretionary
2018-09-04,AMZN,101.97550201416016,Consumer Discretionary
2018-09-05,AMZN,99.74099731445312,Consumer Discretionary
2018-09-06,AMZN,97.91549682617188,Consumer Discretionary
2018-09-07,AMZN,97.60350036621094,Consumer Discretionary
2018-09-10,AMZN,96.95050048828124,Consumer Discretionary
2018-09-11,AMZN,99.35749816894533,Consumer Discretionary
2018-09-12,AMZN,99.5,Consumer Discretionary
2018-09-13,AMZN,99.49349975585938,Consumer Discretionary
2018-09-14,AMZN,98.5094985961914,Consumer Discretionary
2018-09-17,AMZN,95.40149688720705,Consumer Discretionary
2018-09-18,AMZN,97.05249786376952,Consumer Discretionary
2018-09-19,AMZN,96.3209991455078,Consumer Discretionary
2018-09-20,AMZN,97.21499633789062,Consumer Discretionary
2018-09-21,AMZN,95.75050354003906,Consumer Discretionary
2018-09-24,AMZN,96.71800231933594,Consumer Discretionary
2018-09-25,AMZN,98.72750091552734,Consumer Discretionary
2018-09-26,AMZN,98.74250030517578,Consumer Discretionary
